Date,Experiment,Incubation,Housing,Core,Replicate,Analyte,Time,Depth,mV,mV.sd,mV.correct,N2O,N2O.shifted
28102020,Mangrove4,N2O,Treatment,1,1,N2O,2020-10-28 4:29,-1,6.337585449,0.007922121,6.297258754,0.02827097,0.028626111
28102020,Mangrove4,N2O,Treatment,1,1,N2O,2020-10-28 4:30,-0.5,6.379455566,0.008829496,6.336261773,0.029093855,0.029448996
28102020,Mangrove4,N2O,Treatment,1,1,N2O,2020-10-28 4:30,0,6.3152771,0.00586856,6.26921621,0.027679328,0.028034469
28102020,Mangrove4,N2O,Treatment,1,1,N2O,2020-10-28 4:31,0.5,6.137573242,0.006645299,6.08853057,0.023867224,0.024222365
28102020,Mangrove4,N2O,Treatment,1,1,N2O,2020-10-28 4:31,1,5.895568848,0.00776917,5.843659078,0.018700926,0.019056067
28102020,Mangrove4,N2O,Treatment,1,1,N2O,2020-10-28 4:32,1.5,5.581268311,0.007345747,5.526376759,0.012006906,0.012362047
28102020,Mangrove4,N2O,Treatment,1,1,N2O,2020-10-28 4:32,2,5.426055908,0.007493997,5.368297259,0.008671745,0.009026886
28102020,Mangrove4,N2O,Treatment,1,1,N2O,2020-10-28 4:32,2.5,5.330932617,0.006708204,5.270192186,0.006601925,0.006957066
28102020,Mangrove4,N2O,Treatment,1,1,N2O,2020-10-28 4:33,3,5.041412354,0.007144229,4.977804825,0.000433138,0.000788279
28102020,Mangrove4,N2O,Treatment,1,1,N2O,2020-10-28 4:33,3.5,5.027008057,0.008544004,4.96053343,6.87E-05,0
28102020,Mangrove4,N2O,Treatment,1,1,N2O,2020-10-28 4:34,4,4.989807129,0.008333066,4.920350721,-0.000779028,0
28102020,Mangrove4,N2O,Treatment,2,2,N2O,2020-10-28 4:45,-1,6.226776123,0.006575713,6.371350493,0.029834157,0.031718694
28102020,Mangrove4,N2O,Treatment,2,2,N2O,2020-10-28 4:45,-0.5,6.229003906,0.0080025,6.376560058,0.029944068,0.031828605
28102020,Mangrove4,N2O,Treatment,2,2,N2O,2020-10-28 4:45,0,6.150146484,0.008829496,6.300340366,0.028335986,0.030220523
28102020,Mangrove4,N2O,Treatment,2,2,N2O,2020-10-28 4:46,0.5,5.850616455,0.007144229,6.003677435,0.022076993,0.02396153
28102020,Mangrove4,N2O,Treatment,2,2,N2O,2020-10-28 4:46,1,5.557312012,0.006311893,5.713354773,0.015951767,0.017836304
28102020,Mangrove4,N2O,Treatment,2,2,N2O,2020-10-28 4:47,1.5,5.364746094,0.008829496,5.523655953,0.011949502,0.013834039
28102020,Mangrove4,N2O,Treatment,2,2,N2O,2020-10-28 4:47,2,5.190002441,0.006584831,5.351894082,0.008325671,0.010210208
28102020,Mangrove4,N2O,Treatment,2,2,N2O,2020-10-28 4:48,2.5,4.997039795,0.008485281,5.161798533,0.004315036,0.006199573
28102020,Mangrove4,N2O,Treatment,2,2,N2O,2020-10-28 4:48,3,4.876068115,0.007483315,5.043693951,0.001823267,0.003707803
28102020,Mangrove4,N2O,Treatment,2,2,N2O,2020-10-28 4:48,3.5,4.784881592,0.006931089,4.95548921,-3.77E-05,0.00184686
28102020,Mangrove4,N2O,Treatment,2,2,N2O,2020-10-28 4:49,4,4.768371582,0.008101852,4.941846298,-0.000325515,0.001559022
28102020,Mangrove4,N2O,Treatment,2,2,N2O,2020-10-28 4:49,4.5,4.696990967,0.006764614,4.87333278,-0.001771012,0
28102020,Mangrove4,N2O,Treatment,2,2,N2O,2020-10-28 4:50,5,4.681976318,0.005919459,4.861299913,-0.002024882,0
28102020,Mangrove4,N2O,Treatment,2,2,N2O,2020-10-28 4:50,5.5,4.69241333,0.007180529,4.874604023,-0.001744192,0
28102020,Mangrove4,N2O,Treatment,3,3,N2O,2020-10-28 4:55,-1,6.099060059,0.005325411,6.317605552,0.028700246,0.03088217
28102020,Mangrove4,N2O,Treatment,3,3,N2O,2020-10-28 4:56,-0.5,6.149353027,0.004386343,6.370765618,0.029821817,0.032003741
28102020,Mangrove4,N2O,Treatment,3,3,N2O,2020-10-28 4:56,0,6.00189209,0.005291502,6.226171778,0.026771177,0.028953101
28102020,Mangrove4,N2O,Treatment,3,3,N2O,2020-10-28 4:57,0.5,5.833099365,0.004270831,6.060360835,0.023272899,0.025454823
28102020,Mangrove4,N2O,Treatment,3,3,N2O,2020-10-28 4:57,1,5.629547119,0.005827521,5.859675687,0.019038845,0.021220769
28102020,Mangrove4,N2O,Treatment,3,3,N2O,2020-10-28 4:58,1.5,5.388031006,0.0053066,5.621141356,0.014006249,0.016188173
28102020,Mangrove4,N2O,Treatment,3,3,N2O,2020-10-28 4:58,2,5.317077637,0.003815757,5.553055084,0.012569765,0.014751689
28102020,Mangrove4,N2O,Treatment,3,3,N2O,2020-10-28 4:58,2.5,5.039489746,0.004142463,5.278334291,0.006773707,0.008955631
28102020,Mangrove4,N2O,Treatment,3,3,N2O,2020-10-28 4:59,3,4.876831055,0.004386343,5.118657382,0.003404845,0.005586768
28102020,Mangrove4,N2O,Treatment,3,3,N2O,2020-10-28 4:59,3.5,4.743774414,0.005589276,4.988582522,0.000660526,0.00284245
28102020,Mangrove4,N2O,Treatment,3,3,N2O,2020-10-28 5:00,4,4.682952881,0.004833218,4.930628087,-0.000562196,0.001619727
28102020,Mangrove4,N2O,Treatment,3,3,N2O,2020-10-28 5:00,4.5,4.636566162,0.004898979,4.887108466,-0.001480373,0.000701551
28102020,Mangrove4,N2O,Treatment,3,3,N2O,2020-10-28 5:00,5,4.620544434,0.003693237,4.873839152,-0.001760329,0
28102020,Mangrove4,N2O,Treatment,3,3,N2O,2020-10-28 5:01,5.5,4.574615479,0.0014,4.83387376,-0.002603519,0
28102020,Mangrove4,N2O,Treatment,4,4,N2O,2020-10-28 5:03,-1,6.055877686,0.003666061,6.33015956,0.028965111,0.029389886
28102020,Mangrove4,N2O,Treatment,4,4,N2O,2020-10-28 5:04,-0.5,6.067474365,0.002712932,6.34473802,0.029272687,0.029697462
28102020,Mangrove4,N2O,Treatment,4,4,N2O,2020-10-28 5:04,0,6.153106689,0.004737088,6.433352126,0.031142267,0.031567042
28102020,Mangrove4,N2O,Treatment,4,4,N2O,2020-10-28 5:05,0.5,6.057830811,0.003666061,6.340713978,0.029187788,0.029612563
28102020,Mangrove4,N2O,Treatment,4,4,N2O,2020-10-28 5:05,1,5.874481201,0.004142463,6.160231466,0.025379969,0.025804744
28102020,Mangrove4,N2O,Treatment,4,4,N2O,2020-10-28 5:06,1.5,5.734405518,0.004935585,6.023137564,0.022487563,0.022912338
28102020,Mangrove4,N2O,Treatment,4,4,N2O,2020-10-28 5:06,2,5.560821533,0.00346987,5.852420677,0.018885779,0.019310554
28102020,Mangrove4,N2O,Treatment,4,4,N2O,2020-10-28 5:06,2.5,5.355072021,0.004,5.649652947,0.014607786,0.015032561
28102020,Mangrove4,N2O,Treatment,4,4,N2O,2020-10-28 5:07,3,5.190155029,0.004142463,5.487603053,0.011188858,0.011613634
28102020,Mangrove4,N2O,Treatment,4,4,N2O,2020-10-28 5:07,3.5,5.059020996,0.002441311,5.359336117,0.008482683,0.008907458
28102020,Mangrove4,N2O,Treatment,4,4,N2O,2020-10-28 5:08,4,5.228515625,0.004853865,5.531697844,0.01211917,0.012543945
28102020,Mangrove4,N2O,Treatment,4,4,N2O,2020-10-28 5:08,4.5,5.413330078,0.003249615,5.719494079,0.016081294,0.016506069
28102020,Mangrove4,N2O,Treatment,4,4,N2O,2020-10-28 5:09,5,4.952392578,0.004142463,5.261538361,0.006419347,0.006844122
28102020,Mangrove4,N2O,Treatment,4,4,N2O,2020-10-28 5:09,5.5,4.688140869,0.003249615,5.000153749,0.000904656,0.001329431
28102020,Mangrove4,N2O,Treatment,4,4,N2O,2020-10-28 5:09,6,4.55947876,0.003693237,4.87412937,-0.001754206,0
28102020,Mangrove4,N2O,Treatment,1,5,N2O,2020-10-28 5:12,-1,6.098083496,0.004386343,6.428216434,0.031033914,0.03036975
28102020,Mangrove4,N2O,Treatment,1,5,N2O,2020-10-28 5:12,-0.5,6.1355896,0.004935585,6.468589636,0.031885708,0.031221544
28102020,Mangrove4,N2O,Treatment,1,5,N2O,2020-10-28 5:12,0,6.127105713,0.004853865,6.462858163,0.031764785,0.031100621
28102020,Mangrove4,N2O,Treatment,1,5,N2O,2020-10-28 5:13,0.5,6.053314209,0.004270831,6.391933757,0.030268423,0.029604259
28102020,Mangrove4,N2O,Treatment,1,5,N2O,2020-10-28 5:13,1,5.864746094,0.00346987,6.206347424,0.026352923,0.025688759
28102020,Mangrove4,N2O,Treatment,1,5,N2O,2020-10-28 5:14,1.5,5.635284424,0.003841875,5.979867535,0.021574652,0.020910488
28102020,Mangrove4,N2O,Treatment,1,5,N2O,2020-10-28 5:14,2,5.370330811,0.004142463,5.71778102,0.016045152,0.015380988
28102020,Mangrove4,N2O,Treatment,1,5,N2O,2020-10-28 5:15,2.5,5.31842041,0.004142463,5.668623033,0.015008017,0.014343853
28102020,Mangrove4,N2O,Treatment,1,5,N2O,2020-10-28 5:15,3,5.147186279,0.003841875,5.500256,0.01145581,0.010791646
28102020,Mangrove4,N2O,Treatment,1,5,N2O,2020-10-28 5:15,3.5,4.96774292,0.004176123,5.323450371,0.007725566,0.007061402
28102020,Mangrove4,N2O,Treatment,1,5,N2O,2020-10-28 5:16,4,4.783233643,0.004995998,5.141922875,0.0038957,0.003231536
28102020,Mangrove4,N2O,Treatment,1,5,N2O,2020-10-28 5:16,4.5,4.76348877,0.004489989,5.1250451,0.003539613,0.002875449
28102020,Mangrove4,N2O,Treatment,1,5,N2O,2020-10-28 5:17,5,4.649658203,0.003,5.013966947,0.001196086,0.000531922
28102020,Mangrove4,N2O,Treatment,1,5,N2O,2020-10-28 5:17,5.5,4.596252441,0.00344093,4.963542967,0.000132242,0
28102020,Mangrove4,N2O,Treatment,2,6,N2O,2020-10-28 5:19,-1,5.96105957,0.001959592,6.340621274,0.029185832,0.028197534
28102020,Mangrove4,N2O,Treatment,2,6,N2O,2020-10-28 5:19,-0.5,5.932312012,0.002374868,6.314740814,0.028639806,0.027651508
28102020,Mangrove4,N2O,Treatment,2,6,N2O,2020-10-28 5:20,0,6.049865723,0.003841875,6.435046939,0.031178024,0.030189726
28102020,Mangrove4,N2O,Treatment,2,6,N2O,2020-10-28 5:20,0.5,6.022888184,0.00346987,6.410936498,0.030669342,0.029681044
