Date ,Experiment,Time,Start_time,Replicate,Profile_number,Analyte,Depth,mV,Concentration,Concentration_shifted,StDev
10102020,Mangrove1,2020-10-10 19:42:13,18:30,1,1,O2,-1000,102.5483704,202.8966064,203.1966064,0.143102899
10102020,Mangrove1,2020-10-10 19:42:23,18:30,1,1,O2,-800,102.447937,202.6938019,202.9938019,0.25520885
10102020,Mangrove1,2020-10-10 19:42:33,18:30,1,1,O2,-600,102.237793,202.2696075,202.5696075,0.216175482
10102020,Mangrove1,2020-10-10 19:42:43,18:30,1,1,O2,-400,102.2463989,202.2868042,202.5868042,0.176945642
10102020,Mangrove1,2020-10-10 19:42:53,18:30,1,1,O2,-200,101.8508301,201.4889984,201.7889984,0.159289047
10102020,Mangrove1,2020-10-10 19:43:03,18:30,1,1,O2,0,99.91320801,197.5778046,197.8778046,0.434807032
10102020,Mangrove1,2020-10-10 19:43:13,18:30,1,1,O2,200,91.25665283,180.1053925,180.4053925,1.241049886
10102020,Mangrove1,2020-10-10 19:43:23,18:30,1,1,O2,400,78.76934814,154.9011993,155.2011993,0.971219122
10102020,Mangrove1,2020-10-10 19:43:33,18:30,1,1,O2,600,64.62362671,126.3496017,126.6496017,0.750279844
10102020,Mangrove1,2020-10-10 19:43:43,18:30,1,1,O2,800,51.44030762,99.74019623,100.0401962,0.569847286
10102020,Mangrove1,2020-10-10 19:43:53,18:30,1,1,O2,1000,40.79016113,78.2437973,78.5437973,0.622449636
10102020,Mangrove1,2020-10-10 19:44:03,18:30,1,1,O2,1200,29.46856689,55.39239883,55.69239883,0.724807739
10102020,Mangrove1,2020-10-10 19:44:13,18:30,1,1,O2,1400,19.84680176,35.97079849,36.27079849,0.716035843
10102020,Mangrove1,2020-10-10 19:44:23,18:30,1,1,O2,1600,12.81750488,21.78319931,22.08319931,0.528372765
10102020,Mangrove1,2020-10-10 19:44:33,18:30,1,1,O2,1800,8.235351563,12.53559971,12.83559971,0.529645741
10102020,Mangrove1,2020-10-10 19:44:43,18:30,1,1,O2,2000,5.691131592,7.399799824,7.699799824,0.325880289
10102020,Mangrove1,2020-10-10 19:44:53,18:30,1,1,O2,2200,3.262176514,2.496599913,2.796599913,0.190594956
10102020,Mangrove1,2020-10-10 19:45:03,18:30,1,1,O2,2400,2.501586914,0.961600006,1.261600006,0.168622181
10102020,Mangrove1,2020-10-10 19:45:13,18:30,1,1,O2,2600,2.091094971,0.1338,0.4338,0.189703882
10102020,Mangrove1,2020-10-10 19:45:23,18:30,1,1,O2,2800,1.965698242,-0.120800003,0.179199997,0.161503434
10102020,Mangrove1,2020-10-10 19:45:33,18:30,1,1,O2,3000,1.895385742,-0.261000007,0.038999993,0.14428097
10102020,Mangrove1,2020-10-10 19:45:43,18:30,1,1,O2,3200,1.924468994,-0.203799993,0.096200007,0.170351282
10102020,Mangrove1,2020-10-10 19:45:53,18:30,1,1,O2,3400,1.890411377,-0.271800011,0.028199989,0.187560022
10102020,Mangrove1,2020-10-10 19:46:03,18:30,1,1,O2,3600,1.858428955,-0.335599989,-0.035599989,0.1521862
10102020,Mangrove1,2020-10-10 19:46:13,18:30,1,1,O2,3800,1.830627441,-0.391600013,-0.091600013,0.201140344
10102020,Mangrove1,2020-10-10 19:51:17,18:30,2,2,O2,-1000,101.1165161,200.0070038,200.5070038,0.821684241
10102020,Mangrove1,2020-10-10 19:51:27,18:30,2,2,O2,-800,102.4581299,202.7144012,203.2144012,0.170084208
10102020,Mangrove1,2020-10-10 19:51:37,18:30,2,2,O2,-600,102.3189697,202.4333954,202.9333954,0.153500617
10102020,Mangrove1,2020-10-10 19:51:47,18:30,2,2,O2,-400,102.374939,202.546402,203.046402,0.166225865
10102020,Mangrove1,2020-10-10 19:51:56,18:30,2,2,O2,-200,101.9748535,201.7391968,202.2391968,0.329040051
10102020,Mangrove1,2020-10-10 19:52:07,18:30,2,2,O2,0,98.67474365,195.0771942,195.5771942,0.682855904
10102020,Mangrove1,2020-10-10 19:52:16,18:30,2,2,O2,200,91.08184814,179.7539978,180.2539978,0.963018179
10102020,Mangrove1,2020-10-10 19:52:26,18:30,2,2,O2,400,80.25878906,157.9087982,158.4087982,1.472784638
10102020,Mangrove1,2020-10-10 19:52:36,18:30,2,2,O2,600,65.37405396,127.8641968,128.3641968,0.902968645
10102020,Mangrove1,2020-10-10 19:52:46,18:30,2,2,O2,800,54.60641479,106.1299973,106.6299973,0.278905004
10102020,Mangrove1,2020-10-10 19:52:56,18:30,2,2,O2,1000,42.26837158,81.22820282,81.72820282,1.105708241
10102020,Mangrove1,2020-10-10 19:53:06,18:30,2,2,O2,1200,25.17764282,46.73180008,47.23180008,1.017099142
10102020,Mangrove1,2020-10-10 19:53:16,18:30,2,2,O2,1400,16.73629761,29.69280052,30.19280052,0.357938766
10102020,Mangrove1,2020-10-10 19:53:26,18:30,2,2,O2,1600,11.70291138,19.5340004,20.0340004,2.398188591
10102020,Mangrove1,2020-10-10 19:53:36,18:30,2,2,O2,1800,7.197723389,10.44040012,10.94040012,0.503674328
10102020,Mangrove1,2020-10-10 19:53:46,18:30,2,2,O2,2000,8.488861084,13.04699993,13.54699993,2.146452188
10102020,Mangrove1,2020-10-10 19:53:56,18:30,2,2,O2,2200,2.129302979,0.210600004,0.710600004,0.21840705
10102020,Mangrove1,2020-10-10 19:54:06,18:30,2,2,O2,2400,2.058929443,0.068999998,0.568999998,0.137945637
10102020,Mangrove1,2020-10-10 19:54:16,18:30,2,2,O2,2600,1.969665527,-0.111599997,0.388400003,0.124921739
10102020,Mangrove1,2020-10-10 19:54:26,18:30,2,2,O2,2800,1.966491699,-0.116599999,0.383400001,0.167482659
10102020,Mangrove1,2020-10-10 19:54:36,18:30,2,2,O2,3000,1.924194336,-0.202800006,0.297199994,0.166841716
10102020,Mangrove1,2020-10-10 19:54:46,18:30,2,2,O2,3200,1.901672363,-0.248799995,0.251200005,0.149541169
10102020,Mangrove1,2020-10-10 19:54:56,18:30,2,2,O2,3400,1.828521729,-0.396800011,0.103199989,0.193447053
10102020,Mangrove1,2020-10-10 19:55:06,18:30,2,2,O2,3600,1.840637207,-0.372000009,0.127999991,0.183717176
10102020,Mangrove1,2020-10-10 19:55:16,18:30,2,2,O2,3800,1.791778564,-0.470600009,0.029399991,0.210327461
10102020,Mangrove1,2020-10-10 19:55:26,18:30,2,2,O2,4000,1.752563477,-0.550599992,-0.050599992,0.191116825
10102020,Mangrove1,2020-10-10 19:55:36,18:30,2,2,O2,4200,1.801574707,-0.450599998,0.049400002,0.232313663
10102020,Mangrove1,2020-10-10 19:55:46,18:30,2,2,O2,4400,1.740966797,-0.573199987,-0.073199987,0.168433249
10102020,Mangrove1,2020-10-10 19:55:56,18:30,2,2,O2,4600,1.758758545,-0.537599981,-0.037599981,0.150380313
10102020,Mangrove1,NA,18:30,3,3,O2,-1000,NA,NA,NA,NA
10102020,Mangrove1,2020-10-10 20:02:44,18:30,3,3,O2,-800,99.84637451,197.4420013,197.7420013,1.142171621
10102020,Mangrove1,2020-10-10 20:02:54,18:30,3,3,O2,-600,102.0788879,201.9490051,202.2490051,0.18376343
10102020,Mangrove1,2020-10-10 20:03:04,18:30,3,3,O2,-400,102.3093872,202.4136047,202.7136047,0.1426851
10102020,Mangrove1,2020-10-10 20:03:14,18:30,3,3,O2,-200,102.0670776,201.9250031,202.2250031,0.297531515
10102020,Mangrove1,2020-10-10 20:03:24,18:30,3,3,O2,0,99.34347534,196.4273987,196.7273987,0.689555824
10102020,Mangrove1,2020-10-10 20:03:34,18:30,3,3,O2,200,92.47512817,182.5644073,182.8644073,0.77978754
10102020,Mangrove1,2020-10-10 20:03:44,18:30,3,3,O2,400,86.47113037,170.4458008,170.7458008,0.457021177
10102020,Mangrove1,2020-10-10 20:03:54,18:30,3,3,O2,600,77.59124756,152.5225983,152.8225983,1.454606175
10102020,Mangrove1,2020-10-10 20:04:04,18:30,3,3,O2,800,66.12661743,129.3825989,129.6825989,0.787245333
10102020,Mangrove1,2020-10-10 20:04:14,18:30,3,3,O2,1000,56.96875,110.8988037,111.1988037,0.270936459
10102020,Mangrove1,2020-10-10 20:04:24,18:30,3,3,O2,1200,48.78277588,94.37660217,94.67660217,0.588878989
10102020,Mangrove1,2020-10-10 20:04:34,18:30,3,3,O2,1400,39.07940674,74.79119873,75.09119873,0.366254777
10102020,Mangrove1,2020-10-10 20:04:44,18:30,3,3,O2,1600,29.65194702,55.76179886,56.06179886,0.305278182
10102020,Mangrove1,2020-10-10 20:04:54,18:30,3,3,O2,1800,21.49224854,39.29320145,39.59320145,0.233772874
10102020,Mangrove1,2020-10-10 20:05:04,18:30,3,3,O2,2000,15.6499939,27.50160027,27.80160027,0.481503308
