Study,Sample,Sample_Type,DPN,Sample_Vol,InteritE_DNA,IntegritE_Cq,IntegritE_Total,IntegritE_Copies,IntegritE_SE,I6S_DNA,I6S_Cq,I6S_Total,I6S_Copies,I6S_SE,NosZI_DNA,NosZI_Cq,NosZI_Total,NosZI_Copies,NosZI_SE,NosZII_DNA,NosZII_Total,NosZII_Copies,NosZII_SE,Notes
PCS2019,59,cDNA,1,5.01,"5,856,344.47",13.47,19476957977,3886685420,974,"13,451,559.46",13.58,44725299769,8925067802,316633183,164.3,27.09,589655,117667,2484,143.46,518424,103453,7048,
PCS2019,59,cDNA,1,,"4,950,035.69",13.72,,,,"11,400,211.43",13.83,,,,157.88,27.15,,,,118.32,,,,
PCS2019,59,cDNA,1,,"5,438,743.39",13.58,,,,"13,540,884.23",13.57,,,,149.71,27.23,,,,152.98,,,,
PCS2019,59,cDNA,1,,"4,475,044.51",13.87,,,,"9,986,771.71",14.03,,,,142.91,27.3,,,,175.99,,,,
PCS2019,59,cDNA,1,,,,,,,"12,180,266.71",13.73,,,,150.71,27.22,,,,159.36,,,,
PCS2019,59,cDNA,1,,,,,,,"11,250,300.63",13.85,,,,167.61,27.06,,,,113.58,,,,
PCS2019,59,cDNA,1,,,,,,,"12,099,917.49",13.74,,,,152.73,27.2,,,,143.46,,,,
PCS2019,59,cDNA,1,,,,,,,"11,250,300.63",13.85,,,,168.73,27.05,,,,95.88,,,,
PCS2019,85,cDNA,2,5.05,"12,189,512.33",12.38,57453417008,11377590155,2128,"22,690,777.75",12.79,1.18E+11,23332867457,672487064,94.03,27.93,366731,72624,5981,43.84,390739,77379,13112,
PCS2019,85,cDNA,2,,"11,396,697.41",12.48,,,,"20,682,733.37",12.93,,,,64.39,28.5,,,,61.88,,,,
PCS2019,85,cDNA,2,,"9,252,015.37",12.79,,,,"22,993,133.47",12.77,,,,77.04,28.23,,,,151.2,,,,
PCS2019,85,cDNA,2,,"8,946,078.17",12.84,,,,"19,746,367.21",13,,,,40.98,29.18,,,,72.02,,,,
PCS2019,85,cDNA,2,,,,,,,"24,243,385.87",12.69,,,,67.46,28.43,,,,75.47,,,,
PCS2019,85,cDNA,2,,,,,,,"19,103,602.06",13.05,,,,61.06,28.58,,,,57.35,,,,
PCS2019,85,cDNA,2,,,,,,,"21,237,602.60",12.89,,,,72.09,28.33,,,,57.02,,,,
PCS2019,85,cDNA,2,,,,,,,"20,682,733.37",12.93,,,,56.38,28.7,,,,49.56,,,,
PCS2019,50,gDNA,3,0.73,"571,549.13",16.93,28219484,38603946,6968,"1,534,521.51",16.86,66749346,91312374,2695677,"33,636.03",19.08,1699590,2325021,46904,"252,925.52",10885056,14890638,581711,
PCS2019,50,gDNA,3,,"523,701.79",17.06,,,,"1,274,940.99",17.14,,,,"33,636.03",19.08,,,,"226,363.28",,,,
PCS2019,50,gDNA,3,,"662,688.84",16.71,,,,"1,417,360.45",16.98,,,,"32,107.57",19.15,,,,"230,363.89",,,,
PCS2019,50,gDNA,3,,"499,618.99",17.13,,,,"1,353,192.51",17.05,,,,"36,427.45",18.96,,,,"197,913.20",,,,
PCS2019,50,gDNA,3,,,,,,,"1,380,329.45",17.02,,,,"37,408.49",18.92,,,,"223,734.89",,,,
PCS2019,50,gDNA,3,,,,,,,"1,309,144.66",17.1,,,,"32,537.04",19.13,,,,"199,072.33",,,,
PCS2019,50,gDNA,3,,,,,,,"1,201,214.54",17.23,,,,"33,860.25",19.07,,,,"233,070.17",,,,
PCS2019,50,gDNA,3,,,,,,,"1,209,191.18",17.22,,,,"32,321.59",19.14,,,,"178,165.76",,,,
BIOS2020,D4,gDNA,4,0.49,"5,856,344.47",13.47,259002101,531286361,86796,"927,938.94",17.62,54802049,112414459,10129521,"8,390.14",21.17,347642,713112,65464,"176,097.00",7218331,14806832,1512302,
BIOS2020,D4,gDNA,4,,"4,950,035.69",13.72,,,,"818,287.67",17.81,,,,"6,965.94",21.45,,,,"189,986.08",,,,
BIOS2020,D4,gDNA,4,,"5,438,743.39",13.58,,,,"885,928.51",17.69,,,,"7,594.33",21.32,,,,"156,685.63",,,,
BIOS2020,D4,gDNA,4,,"4,475,044.51",13.87,,,,"1,380,329.45",17.02,,,,"4,176.47",22.22,,,,"185,599.68",,,,
BIOS2020,D4,gDNA,4,,,,,,,"1,309,144.66",17.1,,,,"10,105.52",20.89,,,,"123,323.95",,,,
BIOS2020,D4,gDNA,4,,,,,,,"1,371,223.87",17.03,,,,"5,707.16",21.75,,,,"107,196.37",,,,
BIOS2020,D4,gDNA,4,,,,,,,"1,344,265.95",17.06,,,,"6,783.26",21.49,,,,"145,231.01",,,,
BIOS2020,D4,gDNA,4,,,,,,,"731,208.77",17.98,,,,"5,899.93",21.7,,,,"70,813.18",,,,
BIOS2020,R6,cDNA,5,2.8,"9,314,447.02",12.78,86539855037,30907091085,1038,"20,820,076.58",12.92,1.78E+11,63468414690,2572285443,18.34,30.39,208482,74458,3712,167.96,1342101,479322,28167,
BIOS2020,R6,cDNA,5,,"7,926,099.58",13.02,,,,"17,880,158.78",13.15,,,,23.3,30.03,,,,128.39,,,,
BIOS2020,R6,cDNA,5,,"8,534,686.43",12.91,,,,"17,880,158.78",13.15,,,,22.99,30.05,,,,138.52,,,,
BIOS2020,R6,cDNA,5,,"8,308,156.03",12.95,,,,"15,355,374.74",13.38,,,,23.46,30.02,,,,109.03,,,,
BIOS2020,R6,cDNA,5,,,,,,,"19,486,705.90",13.02,,,,20.67,30.21,,,,132.2,,,,
BIOS2020,R6,cDNA,5,,,,,,,"15,053,491.86",13.41,,,,15.03,30.69,,,,122.53,,,,
BIOS2020,R6,cDNA,5,,,,,,,"17,528,639.27",13.18,,,,19.47,30.3,,,,155.68,,,,
BIOS2020,R6,cDNA,5,,,,,,,"15,977,423.79",13.32,,,,20.95,30.19,,,,102.84,,,,
PCS2019,100,gDNA,6,0.69,"890,885.39",16.27,52287979,75462519,16853,"3,306,755.82",15.7,149773911,216155161,7689251,"52,845.46",18.4,2341411,3379147,128624,"356,964.40",17305963,24976134,706178,
PCS2019,100,gDNA,6,,"965,763.11",16.15,,,,"3,263,272.56",15.72,,,,"44,167.58",18.67,,,,"312,099.94",,,,
PCS2019,100,gDNA,6,,"1,272,391.02",15.74,,,,"2,916,008.14",15.89,,,,"44,167.58",18.67,,,,"342,666.72",,,,
PCS2019,100,gDNA,6,,"1,053,998.81",16.02,,,,"2,954,864.09",15.87,,,,"51,459.59",18.44,,,,"313,927.84",,,,
PCS2019,100,gDNA,6,,,,,,,"3,350,818.51",15.68,,,,"50,780.35",18.46,,,,"401,187.79",,,,
PCS2019,100,gDNA,6,,,,,,,"2,974,485.80",15.86,,,,"45,963.77",18.61,,,,"346,692.31",,,,
PCS2019,100,gDNA,6,,,,,,,"2,504,250.57",16.12,,,,"37,408.49",18.92,,,,"348,722.80",,,,
PCS2019,100,gDNA,6,,,,,,,"2,693,370.27",16.01,,,,"47,833.00",18.55,,,,"346,692.31",,,,
BIOS2020,D2,gDNA,7,0.43,"305,791.60",17.86,14773237,34581547,2434,"927,938.94",17.62,41439432,97002416,4142004,"9,455.96",20.99,490031,1147076,24963,"110,372.47",6080970,14234479,347635,
BIOS2020,D2,gDNA,7,,"274,595.77",18.02,,,,"818,287.67",17.81,,,,"10,240.70",20.87,,,,"121,891.98",,,,
